lemma,word,part_of_speech,category,meaning,question_id,code,p_0_masked,p_5_masked,p_10_masked,p_15_masked,p_20_masked,p_25_masked,p_30_masked,p_35_masked,p_40_masked,p_45_masked,p_50_masked,p_55_masked,p_60_masked,p_65_masked,p_70_masked,p_75_masked,p_80_masked,p_85_masked,p_90_masked,p_95_masked,p_100_masked
total,Total,ADJ,technical term,entire sum,86078,r016,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,True,True,True,True
weight,weight,NOUN,technical term, heaviness  or mass,86078,r018,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,True,True,True,False,True
dog,dogs,NOUN,,A domesticated carnivorous mammal.,86078,r009,False,True,False,True,True,False,False,False,True,False,False,True,True,True,True,False,True,False,True,True,True
=,=,VERB,technical term,Equation,86078,r001,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True
Avg,Avg,PROPN,GPE,Shortening for AVG,86078,r003,False,False,False,True,False,True,False,False,True,False,False,True,True,False,True,False,True,True,False,True,True
=,=,NOUN,technical term,Equation,86078,r001,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True
total,Total,ADJ,technical term,entire sum,86078,r016,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,True,True,True,True
weight,weight,NOUN,technical term, heaviness  or mass,86078,r018,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,True,True,True,False,True
dog,dogs,NOUN,,A domesticated carnivorous mammal.,86078,r009,False,True,False,True,True,False,False,False,True,False,False,True,True,True,True,False,True,False,True,True,True
=,=,NOUN,technical term,Equation,86078,r001,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True
Average,Average,PROPN,individual name,Value representing the typical amount or degree of something.,86078,r002,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,True,True,True,True,True,True
dog,dogs,NOUN,,A domesticated carnivorous mammal.,86078,r009,False,True,False,True,True,False,False,False,True,False,False,True,True,True,True,False,True,False,True,True,True
question,Question,NOUN,individual name,inquiry or query,86078,r013,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,True,False,True,True,True,True
equation,Equation,NOUN,ORG,A mathematical statement that shows the equality of two expressions.,86078,r010,False,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,True,True,True,True,True
y,y,PROPN,individual name,unknown variable,86078,r019,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,True
=,=,NOUN,technical term,Equation,86078,r001,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True
y,y,PROPN,individual name,unknown variable,86078,r019,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,True
=,=,NOUN,technical term,Equation,86078,r001,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True
choose,Choose,VERB,technical term,Select an option.,86078,r007,False,False,False,False,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True
c,C,NOUN,organization name,Option,86078,r006,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True
CP,CP,PROPN,Technical Term,Cost Price,27658,r006,False,False,False,False,True,True,True,False,True,True,True,False,False,False,False,True,True,True,True,True,True
Rs,Rs,PROPN,Technical Term,Currency,27658,r010,False,False,False,False,True,False,False,True,False,False,True,True,False,True,True,False,False,False,True,True,True
MP,MP,PROPN,Technical Term,Marked Price,27658,r008,False,False,False,False,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True
r,Rs,NOUN,PRODUCT,Product,27658,r018,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
Rs,Rs,PROPN,Technical Term,Currency,27658,r010,False,False,False,False,True,False,False,True,False,False,True,True,False,True,True,False,False,False,True,True,True
