word,part_of_speech,category,lemma,word_count,index,question_id,mask_col,is_content_word
Total,ADJ,,total,1,[0],86078,rationale,True
weight,NOUN,,weight,1,[1],86078,rationale,True
of,ADP,,of,1,[2],86078,rationale,False
the,DET,,the,1,[3],86078,rationale,False
dogs,NOUN,,dog,1,[5],86078,rationale,True
=,X,,=,1,[6],86078,rationale,False
(,PUNCT,,(,0,[7],86078,rationale,False
),PUNCT,,),0,[15],86078,rationale,False
=,VERB,,=,1,[16],86078,rationale,True
"
",SPACE,,"
",0,[18],86078,rationale,False
Avg,PROPN,GPE,Avg,1,[19],86078,rationale,True
=,NOUN,,=,1,[20],86078,rationale,True
=,SYM,,=,1,[22],86078,rationale,False
"
",SPACE,,"
",0,[24],86078,rationale,False
Total,ADJ,,total,1,[25],86078,rationale,True
weight,NOUN,,weight,1,[26],86078,rationale,True
of,ADP,,of,1,[27],86078,rationale,False
dogs,NOUN,,dog,1,[29],86078,rationale,True
=,NOUN,,=,1,[30],86078,rationale,True
or,CCONJ,,or,1,[32],86078,rationale,False
"
",SPACE,,"
",0,[34],86078,rationale,False
Average,PROPN,,Average,1,[35],86078,rationale,True
of,ADP,,of,1,[36],86078,rationale,False
dogs,NOUN,,dog,1,[38],86078,rationale,True
as,ADP,,as,1,[39],86078,rationale,False
per,ADP,,per,1,[40],86078,rationale,False
Question,NOUN,,question,1,[41],86078,rationale,True
=,SYM,,=,1,[42],86078,rationale,False
"
",SPACE,,"
",0,[44],86078,rationale,False
Equation,NOUN,ORG,equation,1,[45],86078,rationale,True
:,PUNCT,,:,0,[46],86078,rationale,False
"
",SPACE,,"
",0,[47],86078,rationale,False
4(35,X,,4(35,1,[48],86078,rationale,False
),PUNCT,,),0,[49],86078,rationale,False
+,CCONJ,,+,1,[50],86078,rationale,False
y,PROPN,,y,1,[51],86078,rationale,True
=,NOUN,,=,1,[52],86078,rationale,True
(,PUNCT,,(,0,[54],86078,rationale,False
),PUNCT,,),0,[56],86078,rationale,False
",",PUNCT,,",",0,[57],86078,rationale,False
or,CCONJ,,or,1,[58],86078,rationale,False
y,PROPN,,y,1,[59],86078,rationale,True
=,NOUN,,=,1,[60],86078,rationale,True
.,PUNCT,,.,0,[62],86078,rationale,False
"
",SPACE,,"
",0,[63],86078,rationale,False
Choose,VERB,,choose,1,[64],86078,rationale,True
C,NOUN,,c,1,[65],86078,rationale,True
CP,PROPN,,CP,1,[0],27658,rationale,True
=,PUNCT,,=,0,[1],27658,rationale,False
Rs,PROPN,,Rs,1,[2],27658,rationale,True
.,PROPN,,.,1,[3],27658,rationale,True
",",PUNCT,,",",0,[5],27658,rationale,False
MP,PROPN,,MP,1,[6],27658,rationale,True
=,PUNCT,,=,0,[7],27658,rationale,False
of,ADP,,of,1,[12],27658,rationale,False
=,SYM,,=,1,[14],27658,rationale,False
Rs,NOUN,PRODUCT,r,1,[15],27658,rationale,True
.,PROPN,,.,1,[16],27658,rationale,True
"
",SPACE,,"
",0,[18],27658,rationale,False
SP,NOUN,NORP,sp,1,[19],27658,rationale,True
=,PROPN,,=,1,[20],27658,rationale,True
Rs,PROPN,,Rs,1,[21],27658,rationale,True
.,PROPN,,.,1,[22],27658,rationale,True
",",PUNCT,,",",0,[24],27658,rationale,False
Discount,PROPN,,Discount,1,[25],27658,rationale,True
=,NOUN,,=,1,[26],27658,rationale,True
-,SYM,,-,1,[28],27658,rationale,False
460,NUM,,460,1,[29],27658,rationale,False
=,SYM,,=,1,[30],27658,rationale,False
"
",SPACE,,"
",0,[32],27658,rationale,False
Discount,NOUN,,discount,1,[33],27658,rationale,True
%,NOUN,,%,1,[34],27658,rationale,True
=,NOUN,,=,1,[35],27658,rationale,True
*,PROPN,,*,1,[37],27658,rationale,True
=,SYM,,=,1,[39],27658,rationale,False
"
",SPACE,,"
",0,[42],27658,rationale,False
ANSWER,PROPN,,ANSWER,1,[43],27658,rationale,True
:,PUNCT,,:,0,[44],27658,rationale,False
C,NOUN,,c,1,[45],27658,rationale,True
(,PUNCT,,(,0,[0],54084,rationale,False
A,PRON,,a,1,[1],54084,rationale,False
=,NUM,,=,1,[2],54084,rationale,False
B,NOUN,,b,1,[4],54084,rationale,True
and,CCONJ,,and,1,[5],54084,rationale,False
B,NOUN,,b,1,[6],54084,rationale,True
=,NOUN,,=,1,[7],54084,rationale,True
C,NOUN,,c,1,[9],54084,rationale,True
),PUNCT,,),0,[10],54084,rationale,False
=,VERB,,=,1,[11],54084,rationale,True
A,PROPN,,A,1,[12],54084,rationale,True
/,SYM,,/,1,[13],54084,rationale,False
B,NOUN,,b,1,[14],54084,rationale,True
=,NOUN,,=,1,[15],54084,rationale,True
and,CCONJ,,and,1,[17],54084,rationale,False
B,PROPN,,B,1,[18],54084,rationale,True
/,SYM,,/,1,[19],54084,rationale,False
C,PROPN,,C,1,[20],54084,rationale,True
=,NUM,,=,1,[21],54084,rationale,False
"
",SPACE,,"
",0,[23],54084,rationale,False
A,NOUN,,a,1,[24],54084,rationale,True
:,PUNCT,,:,0,[25],54084,rationale,False
B,NOUN,,b,1,[26],54084,rationale,True
=,SYM,,=,1,[27],54084,rationale,False
and,CCONJ,,and,1,[29],54084,rationale,False
B,NOUN,,b,1,[30],54084,rationale,True
:,PUNCT,,:,0,[31],54084,rationale,False
