lemma,word,part_of_speech,category,meaning,question_id,code
total,Total,ADJ,,Summation or entirety,86078,r014
weight,weight,NOUN,technical term,Heaviness or force of gravity,86078,r016
dog,dogs,NOUN,Individual Name,"Individual animal, often used as a separate entity in the context",86078,r007
=,=,VERB,Technical Term,Mathematical operation representing equivalence or comparison,86078,r001
Avg,Avg,PROPN,GPE,"Abbreviation representing average, denoting a common metric",86078,r003
=,=,NOUN,Technical Term,Mathematical operation representing equivalence or comparison,86078,r001
total,Total,ADJ,,Summation or entirety,86078,r014
weight,weight,NOUN,technical term,Heaviness or force of gravity,86078,r016
dog,dogs,NOUN,Individual Name,"Individual animal, often used as a separate entity in the context",86078,r007
=,=,NOUN,Technical Term,Mathematical operation representing equivalence or comparison,86078,r001
Average,Average,PROPN,Individual Name,"Represents an abstract concept, often used as a name",86078,r002
dog,dogs,NOUN,Individual Name,"Individual animal, often used as a separate entity in the context",86078,r007
question,Question,NOUN,technical term,Queries or inquiries,86078,r011
equation,Equation,NOUN,ORG,Represents a mathematical relationship expressed with symbols and formulas,86078,r008
y,y,PROPN,,Unknown variable,86078,r017
=,=,NOUN,Technical Term,Mathematical operation representing equivalence or comparison,86078,r001
y,y,PROPN,,Unknown variable,86078,r017
CP,CP,PROPN,Organization Name,,27658,r005
Rs,Rs,PROPN,Technical Term,Indian Rupees,27658,r009
.,.,PROPN,Technical Term,"End of Sentence, Period",27658,r003
MP,MP,PROPN,Organization Name,,27658,r007
r,Rs,NOUN,PRODUCT,Cost price,27658,r016
.,.,PROPN,Technical Term,"End of Sentence, Period",27658,r003
sp,SP,NOUN,NORP,Selling price,27658,r018
=,=,PROPN,Technical Term,Equals Sign,27658,r004
Rs,Rs,PROPN,Technical Term,Indian Rupees,27658,r009
.,.,PROPN,Technical Term,"End of Sentence, Period",27658,r003
Discount,Discount,PROPN,Organization Name,,27658,r006
=,=,NOUN,Technical Term,Equals Sign,27658,r004
discount,Discount,NOUN,technical term,Reduction in the price of a product or service,27658,r012
%,%,NOUN,Technical Term,Percentage,27658,r001
=,=,NOUN,Technical Term,Equals Sign,27658,r004
b,B,NOUN,,A quantity or amount.,54084,r009
b,B,NOUN,,A quantity or amount.,54084,r009
